ID;Pessoa;Nome;Telefone;Email;Cep;Endereço;Número do Endereço;Complemento;Bairro;Cidade;UF;Titular;Substituto 1 Nome;Substituto 1 Início;Substituto 1 Fim;Substituto 2 Nome;Substituto 2 Início;Substituto 2 Fim;Substituto 3 Nome;Substituto 3 Início;Substituto 3 Fim;Substituto 4 Nome;Substituto 4 Início;Substituto 4 Fim;Substituto 5 Nome;Substituto 5 Início;Substituto 5 Fim;Substituto 6 Nome;Substituto 6 Início;Substituto 6 Fim;Substituto 7 Nome;Substituto 7 Início;Substituto 7 Fim;Substituto 8 Nome;Substituto 8 Início;Substituto 8 Fim;Substituto 9 Nome;Substituto 9 Início;Substituto 9 Fim;Substituto 10 Nome;Substituto 10 Início;Substituto 10 Fim;Designado 1 Nome;Designado 1 Início;Designado 1 Fim;Designado 2 Nome;Designado 2 Início;Designado 2 Fim;Designado 3 Nome;Designado 3 Início;Designado 3 Fim;Designado 4 Nome;Designado 4 Início;Designado 4 Fim;Designado 5 Nome;Designado 5 Início;Designado 5 Fim;Designado 6 Nome;Designado 6 Início;Designado 6 Fim;Designado 7 Nome;Designado 7 Início;Designado 7 Fim
64;J;1ª Vara Cível de Itabaiana;(79) 3432-8400;1civel.itabaiana@tjse.jus.br;49503256;Avenida Doutor Luiz Magalhães;s/n;;Serrano;Itabaiana;SE;CARL OS RODRIGO DE MORAES LISBO A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
814;J;1ª Vara Cível de Lagarto;(79) 3632-1700;1civel.lgarto@tjse.jus.br;;Rod. Antônio Martins de Menezes, km 36;s/n;;Horta;Lagarto;SE;SEBNA SIMIA ODA ROCHA;SUL AMIT AGOES DE ARA UJO CARV ALHO;09/09/2025;11/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;J;1ª Vara Cível de Nossa Senhora do Socorro;(79) 3279-3400;1civel.socorro@tjse.jus.br;49160000;Rua Dr. Manoel dos Passos;;;Centro;Nossa Senhora do Socorro;SE;SER GIO MENEZES LUCAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;J;1ª Vara Cível de São Cristóvão;(79) 3261-9423;1civel.saocristovao@tjse.jus.br;49100000;Largo Joel Fontes Costa;s/n;;Centro;São Cristóvão;SE;MANOEL COSTA NET O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
157;J;1ª Vara Cível e Criminal Comarca de Itaporanga D'ajuda;(79) 3264-3500;1ccrim.itaporanga@tjse.jus.br;49120000;Av. Emídio Max Neto;s/n;;Centro;Itaporanga D'Ajuda;SE;SIDNEY SIL VA DE ALMEID A;Augusto Jose de Souza Carvalho;23/09/2025;25/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
649;J;1ª Vara Cível e Criminal da Barra dos Coqueiros;;barra.coqueiros@tjse.jus.br;49140320;Rodovia Edilson Távora;s/n;;Centro;Barra dos Coqueiros;SE;RAPHAEL SIL VA REIS04/09/25, 16:38 Relatório de Designação Mensal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;J;1ª Vara Cível e Criminal de Laranjeiras;(79) 3281-5900;laranjeiras@tjse.jus.br;49170000;Alamêda Iêda Rosa;s/n;Conj. Manoel do Prado Franco;;Laranjeiras;SE;FERNANDO LUIS LOPES DANTAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;J;1ª Vara Cível e Criminal de Neópolis;;neopolis@tjse.jus.br;49980000;Praça Mons. José Moreno de Santana;s/n;;Centro;Neópolis;SE;ROSIV AN MA CHADO DA SIL VA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715;J;1ª Vara Cível e Criminal de Simão Dias;(79) 3226-3100;1ccrim.simaodias@tjse.jus.br;49480000;Rodovia Lourival Batista, SE 240;2398;;Centro;Simão Dias;SE;HENRIQUE BRIT TO DE CARV ALHO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thiago Dias Peixoto;21/08/2025;30/09/2025;;;;;;;;;;;;;;;;;;
253;J;1ª Vara Criminal de Aracaju;;;49080470;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;OL GA SIL VA BARRET O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;J;1ª Vara Criminal de Itabaiana;(79) 3432-8400;1criminal.itabaiana@tjse.jus.br;49503256;Avenida Doutor Luiz Magalhães;s/n;;Serrano;Itabaiana;SE;ROBER TO AL CANT ARA DE OLIVEIRA ARA UJO04/09/25, 16:38 Relatório de Designação Mensal;GEIL TON COSTA CARDOSO DA SIL VA;17/09/2025;19/09/2025;GEIL TON COSTA CARDOSO DA SIL VA;22/09/2025;26/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;J;1º Juizado Especial Cível de Aracaju;(79) 3234-5400;1jec.aracaju@tjse.jus.br;49070460;Av. Visconde de Maracaju;s/n;;Dezoito do Forte;Aracaju;SE;PATRICIA DE ALMEID AMENEZES;ELIANE CARDOSO COSTA MA GALHAES;29/09/2025;18/10/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;J;1º Juizado Especial Cível e Criminal de Nossa Senhora do Socorro;(79) 3226-3821;1jeccrim.socorro@tjse.jus.br;49160000;Av. Coletora C;s/n;Conj. Marcos Freire II;;Nossa Senhora do Socorro;SE;JOSE ANT ONIO DE NO VAIS MA GALHAES;TATIANY NASCIMENT OCHA GAS DE ALBUQUERQUE;03/09/2025;05/09/2025;TATIANY NASCIMENT OCHA GAS DE ALBUQUERQUE;11/09/2025;30/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;J;20ª Vara Cível de Aracaju;(79) 3226-3686;20civel.aracaju@tjse.jus.br;49080901;Av. Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;ROBER TO FLAVIO CONRADO DE ALMEID A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;J;21ª Vara Cível de Aracaju;(79) 3226-3752;21civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;DANIEL DE LIMA VASCONCEL OS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;J;22ª Vara Cível de Aracaju;(79) 3226-3720;22civel.aracaju@tjse.jus.br;49080901;Av. Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;MARIA DA CONCEICA ODA SIL VA SANT OS;ROBER TO FLAVIO CONRADO DE ALMEID A;01/09/2025;20/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
583;J;25ª Vara Cível de Aracaju;(79) 3226-3500;25civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;CAR OLINA VALADARES BITENC OURT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;J;26ª Vara Cível de Aracaju;(79) 3226-3718;26civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;ELBE MARIA FRANC ODO PRADO DE CARV ALHO;SUYENE BARRET OSEIXAS DE SANT ANA;29/09/2025;30/09/2025;SUYENE BARRET OSEIXAS DE SANT ANA;26/09/2025;26/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;BRUNO LASKOWSKI ST ACZUK;01/09/2025;01/09/2025;Renato Caldas do Valle Viana;02/09/2025;21/09/2025;;;;;;;;;;;;;;;
112;J;27ª Vara Cível de Aracaju;(79) 3226-3817;27civel.aracaju@tjse.jus.br;49080901;Av. Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;SUYENE BARRET OSEIXAS DE SANT ANA04/09/25, 16:38 Relatório de Designação Mensal;Renato Caldas do Valle Viana;05/09/2025;05/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;Marina de Almeida Menezes Barbosa;25/08/2025;13/09/2025;;;;;;;;;;;;;;;;;;
194;J;28ª Vara Cível de Aracaju;(79) 3226-3800;28civel.aracaju@tjse.jus.br;;Avenida Alexandre Alcino;s/n;;Santa Maria;Aracaju;SE;JOSÉ ANSELMO DE OLIVEIRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;J;2ª Vara Cível de Aracaju;(79) 3226-3669;2civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;GARDENIA CARMEL OPRADO04/09/25, 16:38 Relatório de Designação Mensal;SER GIO MENEZES LUCAS;12/09/2025;30/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;J;2ª Vara Cível de Itabaiana;(79) 3432-8400;2civel.itabaiana@tjse.jus.br;49503256;Avenida Doutor Luiz Magalhães;s/n;;Centro;Itabaiana;SE;TAIANE DANUSA GUSMA OBARR OSO SANDE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;J;2ª Vara Cível de Nossa Senhora do Socorro;(79) 3279-3443;2civel.socorro@tjse.jus.br;49160000;Rua Dr. Manoel dos Passos;;;Centro;Nossa Senhora do Socorro;SE;SER GIO MENEZES LUCAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
682;J;2ª Vara Cível de São Cristóvão;(79) 3226-3100;2civel.saocristovao@tjse.jus.br;;Av. Marechal Rondon;s/n;Campus Universitário;Rosa Elze;São Cristóvão;SE;ADEL AIDE MARIA MAR TINS MOURA04/09/25, 16:38 Relatório de Designação Mensal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Viviane Kaliny de Souza Cavalcante;01/09/2025;23/09/2025;;;;;;;;;;;;;;;;;;
517;J;2ª Vara Cível de Lagarto;(79) 3632-1700;2civel.lagarto@tjse.jus.br;;Rod. Antônio Martins de Menezes, km 36;s/n;;Horta;Lagarto;SE;SUL AMIT AGOES DE ARA UJO CARV ALHO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
319;J;2ª Vara Cível e Criminal da Barra dos Coqueiros;(79) 3226-3831;2ccrim.barra@tjse.jus.br;49014000;Rodovia Edilson Távora;s/n;;Centro;Barra dos Coqueiros;SE;HAR OLDO LUIZ RIGO DA SIL VA;EL AINE CELINA AFRA DA SIL VA SANT OS;11/09/2025;30/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;J;2ª Vara Cível e Criminal de Laranjeiras;(79) 3281-5900;2ccrim.laranjeiras@tjse.jus.br;49170000;Alamêda Iêda Rosa;s/n;Conj. Manoel do Prado Franco;;Laranjeiras;SE;ANDREA CALD AS DE SOUZA LISA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;J;2ª Vara Cível e Criminal de Nossa Senhora da Glória;(79) 3411-4100;;49680000;Avenida Manoel Elígio da Mota;s/n;;Brasília;Nossa Senhora da Glória;SE;HER CILIA MARIA FONSECA LIMA BRIT O;GIL VANI ZARDO;09/09/2025;11/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
286;J;2ª Vara Cível e Criminal de Propriá;(79) 3322-5626;2ccrim.propria@tjse.jus.br;;Av. João Barbosa Porto;s/n;;Bela Vista;Propriá;SE;DANIEL LEITE DA SIL VA;EVIL ASIO CORREIA DE ARA UJO FILHO;08/09/2025;27/09/2025;CAMIL OCHIANCA DE OLIVEIRA AZEVEDO;20/08/2025;30/09/2025;CAMIL OCHIANCA DE OLIVEIRA AZEVEDO;20/08/2025;30/09/2025;CAMIL OCHIANCA DE OLIVEIRA AZEVEDO;20/08/2025;30/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
781;J;2ª Vara Cível e Criminal de Simão Dias;(79) 3226-3100;2ccrim.simaodias@tjse.jus.br;49480000;Rodovia Lourival Batista, SE 240;2398;;Centro;Simão Dias;SE;RICARDO SANT ANA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;J;2ª Vara Criminal de Itabaiana;(79) 3432-8400;2criminal.itabaiana@tjse.jus.br;49503256;Avenida Doutor Luiz Magalhães;s/n;;Serrano;Itabaiana;SE;GEIL TON COSTA CARDOSO DA SIL VA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;J;2ª Vara Criminal de Itabaiana;(79) 3432-8400;2criminal.itabaiana@tjse.jus.br;49503256;Avenida Doutor Luiz Magalhães;s/n;;Serrano;Itabaiana;SE;GEIL TON COSTA CARDOSO DA SIL VA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;J;2º Juizado Especial Cível de Aracaju;(79) 3234-5543;2jec.aracaju@tjse.jus.br;49040740;Rua Paulo Henrique Machado Pimentel;170;;Inácio Barbosa;Aracaju;SE;ANT ONIO CERQUEIRA DE ALBUQUERQUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;J;2º Juizado Especial Cível e Criminal de Nossa Senhora do Socorro;(79) 3279-3400;2jeccrim.socorro@tjse.jus.br;49160000;Rua Dr. Manoel dos Passos;s/n;;Centro;Nossa Senhora do Socorro;SE;MAR CELO CERVEIRA GUR GEL;CAMIL ADA COSTA PEDR OSA FERREIRA;01/09/2025;20/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;J;2º Juizado Especial de Aracaju;(79) 3234-5543;2jec.aracaju@tjse.jus.br;49040740;Rua Paulo Henrique Machado Pimentel;170;;Inácio Barbosa;Aracaju;SE;ANT ONIO CERQUEIRA DE ALBUQUERQUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;J;3ª Vara Cível de Aracaju;(79) 3226-3618;3civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;GUST AVO ADOLFO PLECH PEREIRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;J;3ª Vara Cível de Nossa Senhora do Socorro;(79) 3226-3823;3civel.socorro@tjse.jus.br;49160000;Av. Coletora C;s/n;Conj. Marcos Freire II;;Nossa Senhora do Socorro;SE;SER GIO MENEZES LUCAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;J;3º Juizado Especial Cível de Aracaju;(79) 3234-5506;3jec.aracaju@tjse.jus.br;49040740;Rua Paulo Henrique Machado Pimentel;170;;Inácio Barbosa;Aracaju;SE;ANUSKA ROCHA SOUZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;J;4ª Vara Cível de Aracaju;(79) 3226-3622;4civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;ALICIO DE OLIVEIRA ROCHA JUNIOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;J;4ª Vara Cível de Aracaju;(79) 3226-3622;4civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;ALICIO DE OLIVEIRA ROCHA JUNIOR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;J;4º Juizado Especial Cível de Aracaju;(79) 3234-5538;4jec.aracaju@tjse.jus.br;49040740;Rua Paulo Henrique Machado Pimentel;170;;Inácio Barbosa;Aracaju;SE;LAIS MENDONCA CAMARA AL VES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;J;5ª Vara Cível de Aracaju;(79) 3226-3647;5civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;JOSE AD AILTON SANT OS AL VES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;J;5º Juizado Especial Cível de Aracaju;(79) 3234-5549;5jec.aracaju@tjse.jus.br;49040740;Rua Paulo Henrique Machado Pimentel;170;;Inácio Barbosa;Aracaju;SE;ENILDE AMARAL SANT OS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;J;6ª Vara Cível de Aracaju;(79) 3226-3637;6civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;FRANCISC OAL VES JUNIOR;HELIO DE FIGUEIREDO MESQUIT ANET O;29/09/2025;30/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;J;7ª Vara Cível de Aracaju;(79) 3226-3717;27civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;LEONARDO SOUZA SANT ANA ALMEID A;Thiago Dias Peixoto;29/09/2025;30/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;J;7º Juizado Especial Cível de Aracaju;(79) 3226-3800;7jec.aracaju@tjse.jus.br;49044090;Rua Alexandre Alcino;s/n;;Santa Maria;Aracaju;SE;SAL VADOR MEL OGONZALEZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AL TAMIR OPACHEC ODA SIL VA JÚNIOR;01/09/2025;30/09/2025;;;;;;;;;;;;;;;;;;
82;J;8ª Vara Cível de Aracaju;(79) 3226-3638;8civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;HELIO DE FIGUEIREDO MESQUIT ANET O;CLEA MONTEIR OAL VES SCHLINGMANN;04/08/2025;02/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;J;8º Juizado Especial Cível de Aracaju;(79) 3234-5400;8jec.aracaju@tjse.jus.br;49070460;Av. Visconde de Maracaju;389;;Dezoito do Forte;Aracaju;SE;ELIANE CARDOSO COSTA MA GALHAES;PATRICIA DE ALMEID AMENEZES;03/09/2025;05/09/2025;PATRICIA DE ALMEID AMENEZES;08/09/2025;08/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;J;9ª Vara Cível de Aracaju;(79) 3226-3642;9civel.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;CLEA MONTEIR OAL VES SCHLINGMANN;HELIO DE FIGUEIREDO MESQUIT ANET O;11/09/2025;30/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;J;9ª Vara Criminal de Aracaju;(79) 3226-3594;9criminal.aracaju@tjse.jus.br;49081901;Avenida Presidente Tancredo Neves;s/n;;Capucho;Aracaju;SE;OL GA SIL VA BARRET O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;J;9º Juizado Especial Cível de Aracaju;(79) 3234-5500;9jec.aracaju@tjse.jus.br;49040740;Rua Paulo Henrique Machado Pimentel;170;;Inácio Barbosa;Aracaju;SE;PAULO HENRIQUE VAZ FID ALGO;LUIS GUST AVO SERRA VALLE ALMEID A;05/09/2025;05/09/2025;LUIS GUST AVO SERRA VALLE ALMEID A;05/09/2025;05/09/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;J;Comarca de Arauá;(79) 3547-1225;araua@tjse.jus.br;49220000;Rua Joaquim Costa Nascimento;s/n;;Centro;Arauá;SE;CRISTIANO JOSE MA CEDO COSTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Thiago Dias Peixoto;29/09/2025;30/09/2025;;;;;;;;;;;;;;;;;;
352;J;Comarca de Porto da Folha;;porto.folha@tjse.jus.br;49800000;Rua Augusto César Leite;189;;Centro;Porto da Folha;SE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALINE REIS FONSECA SO ARES;08/08/2025;30/09/2025;;;;;;;;;;;;;;;;;;
223;J;Comarca de Santa Luzia do Itanhy;(79) 3543-1290;indiaroba@tjse.jus.br;49250000;Rua Barão do Rio Branco;20;;Centro;Santa Luzia do Itanhy;SE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ALINE REIS FONSECA SO ARES;08/08/2025;30/09/2025;;;;;;;;;;;;;;;;;;
201;J;Juizado Especial Cível e Criminal;;;;;;;;Itabaiana;;CL AUDIO BAHIA FELICISSIMO;PEDR ORODRIGUES NET O;29/09/2025;30/09/2025;FABIANA OLIVEIRA BAST OS DE CASTR O;22/09/2025;26/09/2025;PEDR ORODRIGUES NET O;29/09/2025;30/09/2025;FABIANA OLIVEIRA BAST OS DE CASTR O;22/09/2025;26/09/2025;PEDR ORODRIGUES NET O;29/09/2025;30/09/2025;FABIANA OLIVEIRA BAST OS DE CASTR O;22/09/2025;26/09/2025;PEDR ORODRIGUES NET O;29/09/2025;30/09/2025;FABIANA OLIVEIRA BAST OS DE CASTR O;22/09/2025;26/09/2025;DANIEL ADE ALMEID ABA YMA VALDÍVIA;09/09/2025;28/09/2025;DANIEL ADE ALMEID ABA YMA VALDÍVIA;09/09/2025;28/09/2025;;;;;;;;;;;;;;;;;;;;;
96;J;Juizado Especial Cível e Criminal de Itabaiana;(79) 3432-8400;jeccrim.itabaiana@tjse.jus.br;49503256;Avenida Doutor Luiz Magalhães;s/n;;Serrano;Itabaiana;SE;MAR CIA MARIA LUVISETI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;J;Juizado Especial Cível e Criminal de São Cristóvão;(79) 3261-9450;jeccrim.saocristovao@tjse.jus.br;49100000;R. Gov. João Alves Filho;384;Fórum Prof. Gonçalo Rollemberg Leite, UFS;Rosa Else;São Cristóvão;SE;PAULO MAR CELO SIL VA LEDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Viviane Kaliny de Souza Cavalcante;01/09/2025;20/09/2025;;;;;;;;;;;;;;;;;;
